Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Bubble1	Bubble2	Bubble3	Twi4d_1	Twi4d_2	Twi4d_3	BLAST.Hit	Trinotate.Descr	Emapper.Annotation
NV2.10001	181.822263358529	3.25990047753671	0.247340971958185	9.13678174564125	6.43384489201662e-20	1.32504538454898e-18	37.2276426570697	37.4474955745129	39.2098958702628	308.716836431896	354.690531879394	431.331408921675	NA	NA	NA
NV2.10004	418.865436771807	1.95358894715163	0.178323496974868	5.34752269515003	8.91662338388948e-08	8.08039221563836e-07	228.329541630027	250.306944103323	172.523541829156	923.354161139603	887.4300807538	694.851929461101	dickkopf-3 related protein precursor [Hydra vulgaris]	NA	NA
NV2.10008	444.407056672516	-4.64996213579612	0.224910457260641	-16.2285123611051	3.17050555998593e-59	1.9985967312087e-57	622.942553794966	583.392562634517	705.778125664731	34.1154475042494	30.9650464339153	10.84709164448	NA	NA	NA
NV2.10009	119.190113336523	2.26798704405533	0.300203243171267	4.22376197758775	2.4025779327363e-05	0.000169104872300742	14.8910570628279	51.2439413124914	26.6627291917787	130.869093704826	123.156434680345	200.990227530071	SJCHGC07053 protein [Schistosoma japonicum]	Translation initiation factor IF-2 {ECO:0000255|HAMAP-Rule:MF_00100};	Inherit from KOG: DNAj (Hsp40) homolog, subfamily B, member
NV2.10017	59.6660266409993	-3.04204749918325	0.338276719605069	-6.03661848668538	1.5737720595649e-09	1.68958647062264e-08	89.3463423769672	72.9240703293147	86.2617709145782	11.7446622555613	12.6675189956926	5.74257792943059	Collagen alpha-5(VI) chain [Crassostrea gigas]	Integrin alpha-X;	collagen, type VI, alpha
NV2.10018	474.55721482587	-7.64842706860376	0.318658208113552	-20.8638186600065	1.1418072525758e-96	1.33993594501961e-94	935.654752114351	930.27462690369	1027.29927180089	4.47415704973763	3.51875527658129	6.38064214381177	Collagen alpha-3(VI) chain [Crassostrea gigas]	NA	collagen, type VI, alpha
NV2.10019	760.749489422276	-5.16102032800721	0.483646978883096	-8.6034246251603	7.73720720658475e-18	1.43507504242212e-16	67.0097567827254	78.8368327884483	76.8513959057151	3.35561778730322	0	2.55225685752471	Collagen alpha-3(VI) chain [Crassostrea gigas]	Integrin alpha-X;	collagen, type VI, alpha
NV2.10020	25.4032152381014	3.89726511464384	0.662711519830117	4.3718345433116	1.23206882258462e-05	8.94520317533324e-05	0	1.97092081971121	9.41037500886307	46.9786490222451	51.3738270380868	98.2618890147012	NA	NA	Inherit from opiNOG: Conserved hypothetical protein
NV2.10036	27.8554147647564	-2.30209014003269	0.406782769790582	-3.20094713132276	0.00136976662410019	0.00754382391944673	29.7821141256557	35.4765747548017	42.3466875398838	5.03342668095483	7.74126160847883	9.57096321571765	NA	NA	NA
NV2.10038	14284.9010384217	-10.3983857040473	0.314151330619558	-29.9167464467274	1.19183637497604e-196	3.64565162634065e-194	6413.0819083912	6015.2503417586	6224.96306836292	4.47415704973763	3.51875527658129	5.74257792943059	TPA: SCO-spondin precursor [Danio rerio]	Thrombospondin-2;	protein Hydra magnipapillata
