Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Twihead_1	Twihead_2	Twihead_3	WT4d_1	WT4d_2	WT4d_3	TF	deM_TF	BLAST.Hit	Trinotate.Descr	Emapper.Annotation
NV2.10001	182.350388967581	-3.00671511645346	0.201902897329706	-9.93901099485712	2.81609066551591e-23	5.51085568575861e-22	47.2336269770637	42.8809891179367	54.5313534038163	394.93707891057	409.300957210562	366.995052051306	NA	NA	NA	NA	NA
NV2.10004	419.745119196191	-1.98704641351469	0.170959702965663	-5.77356181832475	7.76131128874911e-09	6.5770221977915e-08	162.097219853105	235.232854589824	168.787522440384	736.612923260682	769.86162826836	727.734506624465	NA	NA	dickkopf-3 related protein precursor [Hydra vulgaris]	NA	NA
NV2.10005	157.916706717039	-1.88639383571009	0.159068426274609	-5.57240589141091	2.51245217732073e-08	2.04423183729087e-07	80.5118641654494	93.1130049418054	74.4396252814001	324.592052132606	311.820384905034	273.161089879097	NA	NA	dickkopf3 [Saccoglossus kowalevskii]	Dickkopf-related protein 3;	NA
NV2.10006	515.597603826705	-1.99707604626141	0.14866836894842	-6.70671275479815	1.99057547441377e-11	2.06827684655248e-10	205.036880741345	236.458025707479	266.597727751991	938.603643008836	1039.98851538007	853.541522573871	NA	NA	dickkopf-3 related protein precursor [Hydra vulgaris]	Dickkopf-related protein 3;	NA
NV2.10008	443.355242767526	6.3354783702732	0.292622280815821	18.2333291757485	2.80701678993804e-74	2.47067380035258e-72	631.213015057123	637.088981180774	577.339884449928	7.53696715478188	6.45955599614948	9.03586302399049	NA	NA	NA	NA	NA
NV2.10009	119.502733418885	-2.38861657954795	0.243229421131312	-5.70908146345616	1.135875172691e-08	9.51962417265026e-08	60.1155252435356	50.2320158238687	54.5313534038163	280.375178157886	285.39492855715	298.878546178147	NA	NA	SJCHGC07053 protein [Schistosoma japonicum]	Translation initiation factor IF-2 {ECO:0000255|HAMAP-Rule:MF_00100};	Inherit from KOG: DNAj (Hsp40) homolog, subfamily B, member
NV2.10017	59.5340995310752	6.00612753836396	0.695498032407887	7.19790323637901	6.11455100639199e-13	7.01579189632601e-12	80.5118641654494	60.0333847651114	47.6067370985698	1.50739343095638	0.587232363286316	0.695066386460807	NA	NA	Collagen alpha-5(VI) chain [Crassostrea gigas]	Integrin alpha-X;	collagen, type VI, alpha
NV2.10018	473.45983269093	7.46654043927582	0.387240322153304	16.6990369270373	1.33197360676192e-62	9.0028687059089e-61	559.289083069322	472.916051414959	517.615068817177	3.51725133889821	1.17446472657263	4.17039831876484	NA	NA	Collagen alpha-3(VI) chain [Crassostrea gigas]	NA	collagen, type VI, alpha
NV2.10019	758.792012013442	8.38560430361805	0.36175124013603	20.4162515126163	1.19920422008283e-92	1.42209822601919e-90	1118.57816613864	1163.91256177257	1043.02033097776	4.52218029286913	1.17446472657263	4.17039831876484	NA	NA	Collagen alpha-3(VI) chain [Crassostrea gigas]	Integrin alpha-X;	collagen, type VI, alpha
NV2.1002	6.55572915101969	3.8072957705265	0.855196767758268	3.28263140877541	0.00102843039771999	0.00484468020847923	21.4698304441198	12.2517111765533	15.5803866868047	1.00492895397092	1.17446472657263	1.39013277292161	NA	NA	NA	NA	NA
NV2.10020	25.487821977168	-3.22198886726425	0.521401524463508	-4.26156956397577	2.02996144555759e-05	0.000122044190855563	7.51444065544195	4.90068447062134	3.46230815262326	45.2218029286913	49.3275185160506	51.4349125980997	NA	NA	NA	NA	Inherit from opiNOG: Conserved hypothetical protein
NV2.10036	27.8066479408237	2.24902956948869	0.3821765124185	3.26820076300489	0.00108233561080463	0.00508273748834346	23.6168134885318	36.75513352966	42.4132748696349	5.02464476985458	10.5701825391537	6.25559747814726	NA	NA	NA	NA	NA
NV2.10038	14247.0064057619	12.6897148592463	0.30138088786797	38.7871803747799	0	0	29618.7045891855	32106.8343092757	30864.74602656	7.53696715478188	2.34892945314526	3.47533193230403	NA	NA	TPA: SCO-spondin precursor [Danio rerio]	Thrombospondin-2;	protein Hydra magnipapillata
NV2.10062	20.6832110403502	4.16307308836987	0.586075241300721	5.39704267552716	6.77482783488547e-08	5.31150793515724e-07	35.4252202327977	22.053080117796	35.4886585643884	2.00985790794183	2.34892945314526	0.695066386460807	NA	NA	NA	NA	NA
NV2.10068	84.4199967683395	2.33489368816091	0.20651264918324	6.46398026193758	1.01984180709802e-10	1.00582406114389e-09	125.598508098101	145.795363000985	153.207135753579	25.1232238492729	33.47224470732	25.7174562990498	NA	NA	NA	NA	NA
NV2.10076	312.884518287345	1.38929158056012	0.108746815415002	3.5797975239505	0.000343860540644602	0.00174610619151941	407.926778438277	472.916051414959	454.427945031803	162.798490543289	175.582476622609	171.681397455819	NA	NA	neuropeptide FF receptor 2.1 [Danio rerio]	Neuropeptide Y receptor;	neuropeptide FF receptor
NV2.10077	2281.76402630708	-1.81068844893675	0.0993352283532307	-8.16113741696942	3.31884325458182e-16	4.59624977718451e-15	1092.8143696057	1155.33636394898	1103.61072364866	3953.39050492159	4105.34145173464	3694.97291042565	NA	NA	hydrolase [Streptomyces chartreusis]	NA	NA
NV2.10102	15.6070519672492	2.76089710964839	0.545705507302728	3.22682671529561	0.00125171239820343	0.0058135347875283	38.6456947994157	29.404106823728	22.5050029920512	3.51725133889821	8.22125308600842	1.39013277292161	NA	NA	NA	NA	NA
NV2.10104	538.141305723268	-1.91481009213765	0.130206270713735	-7.02585280357894	2.12762671145007e-12	2.35657267301774e-11	251.197016196202	274.438330354795	207.738489157396	902.426200665883	899.639980554636	950.155750291923	NA	NA	NA	NA	NA
NV2.10110	867.331358698394	-1.74502017353314	0.141195302216889	-5.27652239016221	1.3165843351746e-07	1.00244660414448e-06	492.73260869255	499.869816003376	486.454295443568	1633.00955020274	1727.63761278834	1595.87242331401	NA	NA	uncharacterized protein LOC100709074 [Oreochromis niloticus]	T-complex protein 1 subunit beta;	Chaperonin containing TCP1, subunit 2 (Beta)
NV2.10114	519.857209979352	3.96219351640595	0.105128987201125	28.1767531036793	1.12699432493444e-174	3.78288061203419e-172	1027.33138675113	1084.27643912497	1077.64341250399	66.3253109620805	72.2295806842169	66.0313067137766	NA	NA	dopamine transporter [Mus musculus]	Sodium-dependent dopamine transporter;	Solute carrier family 6
NV2.10115	2894.42875611761	6.53693633561252	0.298591958185067	18.5434878061275	9.20534991901411e-77	8.55881454442044e-75	5931.04066018811	5640.68782568516	5648.75575100485	67.3302399160514	53.4381450590548	64.641173940855	NA	NA	NA	NA	NA
NV2.10123	59.5795119490112	2.49385272551817	0.301674944557288	4.95186210346509	7.3506686786076e-07	5.21018763461507e-06	61.1890167657416	58.808213647456	84.8265497392698	9.54682506272371	12.3318796290126	15.2914605021377	NA	NA	PREDICTED: EGF-like repeat and discoidin I-like domain-containing protein 3 [Rattus norvegicus]	EGF-like repeat and discoidin I-like domain-containing protein 3;	Milk fat globule-EGF factor 8 protein
NV2.10124	179.478896855808	3.78891004067866	0.206181075396729	13.5265083631575	1.09083027331079e-41	4.40873525156059e-40	489.512134125932	474.141222532614	470.873908756763	41.2020871128076	29.9488505276021	31.9730537771971	NA	NA	NA	Glutamate carboxypeptidase 2;	N-acetylated alpha-linked acidic
NV2.1013	15.8638073442447	5.62520681314327	0.827003944014702	5.59272642726483	2.23531354661912e-08	1.82850679377303e-07	41.8661693660337	24.5034223531067	48.4723141367256	0.502464476985458	1.17446472657263	0.695066386460807	NA	NA	NA	NA	NA
NV2.10134	145.594188185605	-2.09343083911348	0.152617434475413	-7.164521162814	7.80589098010076e-13	8.89970437362783e-12	70.8504404655955	68.6095825886987	62.3215467472187	288.414609789653	294.790646369731	273.856156265558	NA	NA	dickkopf-3 related protein precursor [Hydra vulgaris]	Dickkopf-related protein 3;	NA
NV2.1014	278.435503454572	2.68956322471924	0.222106520092346	7.60699516617866	2.8054180021582e-14	3.49204890727473e-13	366.060609072243	398.180613237983	404.224476818765	64.8179175311241	46.391356699619	70.2017050325415	NA	NA	WD repeat-containing protein 82 [Crassostrea gigas]	Ras-related protein Rab-7L1;	NA
NV2.10141	56.4989626720026	8.12857874853667	0.684504389963045	10.414219182614	2.13542652423584e-25	4.62185649026957e-24	318.82698209518	245.034223531067	257.941957370433	0.502464476985458	0.587232363286316	2.08519915938242	NA	NA	nectin precursor [Paracentrotus lividus]	EGF-like repeat and discoidin I-like domain-containing protein 3;	FA58C
NV2.10148	51.9263381561216	-5.79048560806268	0.571135624135131	-8.38764980790141	4.95956972975398e-17	7.14842204716505e-16	1.07349152220599	3.675513352966	2.59673111446744	129.635835062248	140.935767188716	129.977414268171	NA	NA	NA	NA	NA
NV2.10149	178.772248299784	-2.31809028513366	0.152189295486368	-8.66086067959836	4.682155038563e-18	7.09995393443351e-17	57.9685421991236	64.9340692357327	64.0527008235303	307.5082599151	279.522604924286	346.838126843943	NA	NA	NA	NA	NA
NV2.10150	158.221693083412	3.93708631316521	0.247686160671805	11.8580961697613	1.95366862644179e-32	5.6482413836574e-31	228.653694229876	243.809052413411	228.512338073135	16.5813277405201	19.9659003517347	8.34079663752968	NA	NA	NA	NA	NA
NV2.10160	21.2551358921051	3.02266573579636	0.571216334525786	3.54098020932043	0.000398643478609269	0.00200526681492963	28.9842710995618	14.702053411864	29.4296192972977	0.502464476985458	3.5233941797179	5.56053109168645	NA	NA	NA	NA	NA
